,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel ,GenLabel
820,1890000,276000,0,0,8.45E-18,3,0.00794,319000,2550,191,0.838,0,0.0292,0,6350,0.0196,63.6,0.963,0,0,0,91.8,0.2,4,45.6,0,0
830,4300000,302000,3010,0.00803,7.3E-18,0,0.0101,372000,3800,0,124,0,0,0,719,0.00193,111,0.871,0,0.0166,185,127,0.298,4,16.5,0,0
840,17100000,405000,162000,0.232,0.000223,3,0.00656,536000,3530,126,281,0,0.0317,0,3850,0.00714,0,0,0,0,165,335,0,4,4.17,0,1
850,2810000,327000,0,0,0,0,0.00647,385000,2510,94.9,25.2,0,0.048,0,1880,0.00486,0,0.7,0,0,836,394,0,4,6.83,0,0
870,2640000,301000,1600,0.00375,0,1,0.00917,426000,3940,95.5,25.5,734,0.013,0.162,7230,0.0167,0,0.796,0,0,439,195,0,4,13.7,0,0
880,2400000,334000,1710,0.00441,7.29E-18,2,0.00488,386000,1890,170,0,1020,0.092,0,1670,0.00432,0,0,0,0.0469,0,128,0,4,0,0,0
890,2890000,423000,0,0,5.59E-06,0,0.00845,528000,4500,66.5,65,0,0.00493,0,13400,0.0248,0,0.966,0,0,409,147,0,4,6.65,0,0
900,8710000,291000,0,0,1.03E-17,1,0.00633,423000,2690,153,247,0,0.0113,0,13400,0.0306,125,0.98,0,0.00457,68.3,216,0.297,9,3.61,0,0
910,1330000,419000,1210,0.00969,5.02E-05,0,0.0102,123000,1270,125,216,187,0.137,0.867,788,0.00635,0,1,0,0,16.4,69.8,0,4,0,0,0
920,3360000,432000,0,0,6.69E-18,0,0.00851,601000,5160,122,252,0,0.00948,0,12800,0.0208,134,0.918,0,0.00164,1040,368,0.222,4,3.23,0,0
930,8410000,285000,38500,0.305,0,3,0.00548,87800,484,66.5,0,0,0.0101,0,6520,0.0692,48.2,0.876,0,0.0155,0,0,0.549,4,0,0,1
940,52600000,429000,0,0,0.000288,2,0.0149,245000,3690,60.5,53.1,84.4,0.0126,0.782,4730,0.019,55.7,0,0.933,0.0204,223,246,0.228,4,15.2,0,0
950,7400000,621000,1120,0.00474,8.77E-18,1,0.00705,234000,1660,153,142,1630,0.101,0.332,1370,0.0058,0,0.601,0,0.0052,243,142,0,4,0,0,0
970,1500000,401000,0,0,8.14E-18,3,0.0101,179000,1820,188,44.4,0,0.235,0,612,0.00341,133,0,0,0,421,23.5,0.74,4,0,0,0
980,2430000,568000,451,0.00196,8.07E-18,0,0.00832,229000,1920,331,0,102000,0.186,0,1450,0.00628,157,0,0.0317,0,669,116,0.683,4,28.4,0,0
1000,1680000,448000,0,0,9.66E-18,0,0.00834,209000,1760,402,298,1440,0.221,0.542,1420,0.00675,53.1,0.83,0.441,0.0169,0,2600,0.254,4,0,0,0
1010,6110000,509000,1060,0.00225,7.27E-18,2,0.00452,470000,2130,192,69.9,580,0.132,0.409,1260,0.00268,0,1,0,0,0,854,0,4,0,0,0
1020,1470000,386000,0,0,0,1,0.0104,131000,1370,84.8,309,0,0,0,0,0,0,0,0,0.0144,0,192,0,4,1.77,0,0
1030,1790000,423000,2250,0.0113,4.86E-18,3,0.00882,197000,1750,0,0,330,0,0,887,0.00449,133,1,0.897,0,0,36.9,0.673,4,0,0,0
1040,2200000,487000,5810,0.028,0,3,0.00909,202000,1850,55.7,258,0,0.0733,0,704,0.00348,39.4,0,0,0.032,0,150,0.196,4,1.55,0,0
1050,1460000,426000,0,0,0,2,0.0072,160000,1160,75,0,282,0.173,0,358,0.00224,36.3,0.853,0.736,0.225,0,199,0.227,4,1.44,0,0
1060,1690000,482000,0,0,2.65E-05,0,0.0103,180000,1860,103,0,0,0.257,0,297,0.00165,0,0.666,0,0,0,0,0,4,1.27,0,0
1070,9150000,975000,0,0,0,0,0.0119,705000,8500,221,10.4,0,0.142,0,1340,0.00189,0,0.82,0,0,42.9,498,0,4,1.31,0,1
1080,3070000,469000,0,0,0,4,0.00702,347000,2450,95.3,333,0,0.134,0,616,0.00177,0,0,0,0.0627,0,92.7,0,4,1.22,0,1
