,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
152.4,4160000,1180000,404,0.0085,0,4,0.0444,47100,2190,174,206,179,0.00352,0.673,49100,0.51,298,0.704,0.95,0.00149,155,85.2,6.29,4,0.0925,0,0
243.8,2910000,952000,2180,0.0392,0,2,0.0304,53400,1670,107,204,129,0.00383,0.739,27800,0.343,224,0.688,0.952,0.00227,0,64.3,4.19,4,0.58,0,0
323.1,2660000,1110000,1900,0.0399,0,0,0.0341,45800,1620,100,200,84.7,0.0035,0.809,28500,0.383,253,0.689,0.972,0.00148,35.9,61,5.49,4,0.439,0,0
338.3,3410000,1200000,736,0.0159,2.53E-05,1,0.0408,45400,1930,129,82.2,44.3,0.00376,0.769,34100,0.429,330,0.684,0.988,0.00122,33.1,17.5,7.22,4,0.864,0,0
365.8,2530000,816000,0,0,1.25E-05,2,0.0388,41700,1680,99.1,236,33.8,0.0036,0.926,27400,0.397,390,0.676,0.993,0.0012,111,0,9.28,4,0.683,0,0
426.7,2220000,812000,0,0,0,0,0.0304,44400,1390,116,260,260,0.00619,0.644,18600,0.295,292,0.621,0.928,0.00123,62.6,27.3,6.54,4,0.515,0,0
457.2,3450000,712000,5570,0.103,0,5,0.0252,48200,1250,20.5,74.2,0,0.00321,0,6370,0.117,223,0.549,0,0.00228,66.1,0,4.61,4,0.277,0,0
469.4,2150000,916000,1690,0.0486,0,1,0.029,33100,987,77,350,66.4,0.00822,0.905,9290,0.219,247,0.688,0.977,0.00308,0,115,7.41,4,0.953,0,0
472.4,2350000,772000,0,0,0,3,0.0242,49500,1230,110,72.8,20,0.0121,0.868,9000,0.154,114,0.638,0.985,0.00339,83.1,0,2.29,4,0.627,0,0
475.5,2570000,1010000,1070,0.0205,0,1,0.0197,51100,1030,106,303,88,0.00795,0.862,13200,0.205,155,0.666,0.953,9.53E-05,107,114,3.02,4,0.636,0,0
487.7,3760000,853000,6690,0.123,0,5,0.022,47600,1070,54.3,174,221,0.00617,0.588,8760,0.156,255,0.712,0.93,0.00242,199,143,5.32,9,0.888,0,0
490.7,2470000,882000,1600,0.0261,0,0,0.0205,59500,1250,144,72,0,0.0172,0,8220,0.122,152,0.655,0,0.00208,0,0,2.54,4,0.34,0,0
492.4,123000000,577000,12100,0.146,3.65E-18,3,0.0197,70800,1420,33.2,0,488,0.0208,0,1560,0.0216,0,0.824,0,0,241,52.2,0,4,0,0,0
493,805000000,752000,17600,0.218,3.45E-18,3,0.0169,63100,1080,88.8,215,0,0.0477,0,1770,0.0273,58.5,1,0,0.00872,102,0,0.926,4,0,0,0
493.8,4920000,2450000,317,0.00136,0,1,0.00854,232000,2000,191,110,222,0.0143,0.473,13200,0.0536,368,0.687,0.95,0.000999,118,2.81,1.59,4,0.573,0,0
496.8,3000000,1010000,1920,0.0275,0,2,0.0188,67800,1300,126,265,137,0.00661,0.779,18900,0.218,318,0.671,0.964,0.00172,179,83.7,4.66,9,0.941,0,0
499.9,2150000,846000,0,0,0,0,0.0194,55000,1090,121,71.7,29.3,0.0151,0.817,7880,0.125,169,0.659,0.985,0.00556,0,28.1,3.07,4,0.58,0,0
502.9,1850000,780000,0,0,0,0,0.0188,64300,1230,102,149,0,0.00567,0,17900,0.218,222,0.677,0,0.000728,33.7,119,3.44,4,0.78,0,0
506,2260000,849000,0,0,0,0,0.0197,53200,1070,162,52.2,150,0.0179,0.39,8880,0.143,287,0.632,0.957,0.00279,50.2,14.3,5.36,4,1.08,0,0
509,1990000,819000,1590,0.0306,0,0,0.024,50200,1230,114,43.6,20.1,0.0209,0.799,5310,0.0957,32.2,0.703,0.949,0.00198,190,48.4,0.642,4,0.522,0,0
512.1,1860000,756000,0,0,2.1E-05,0,0.0206,57400,1210,143,152,98.4,0.0214,0.739,6540,0.102,133,0.714,0.94,0.00535,406,71.5,2.32,4,0.888,0,0
515.1,2270000,1120000,90.4,0.00171,0,0,0.0257,52900,1400,111,100,96.3,0.0161,0.657,6800,0.114,157,0.689,0.95,0.00396,345,0,2.95,4,0.528,0,0
518.2,6110000,1590000,6430,0.0836,5.82E-05,5,0.0276,70500,2000,276,133,26.1,0.0178,0.904,15300,0.178,298,0.665,0.993,0.00266,388,159,4.21,9,1.61,0,0
533.4,4430000,773000,2450,0.0449,2.73E-18,5,0.0228,52100,1220,86.8,95,53.7,0.0153,0.765,5590,0.0969,159,0.686,0.972,0.00534,186,85.1,3.04,4,4.64,0,0
548.6,3200000,906000,0,0,3.12E-18,4,0.0127,95100,1220,142,228,64.7,0.021,0.867,6620,0.0651,120,0.669,0.956,0.00134,145,31.9,1.26,4,4.07,0,0
563.9,3330000,998000,0,0,2.94E-18,4,0.0105,138000,1460,166,271,17.5,0.0245,0.966,6590,0.0456,146,0.681,0.99,0.00253,143,68,1.06,4,3.44,0,0
579.1,3010000,805000,291,0.00472,1.34E-18,4,0.0186,61400,1170,120,71,191,0.021,0.407,5600,0.0837,109,0.713,0.869,0.00124,140,24.2,1.77,4,5.27,0,0
