,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
1510,3020000,1140000,52,0.000658,8.45E-08,1,0.0286,78900,2320,171,173,0,0.136,0,1080,0.0135,42.1,0.467,0,0.000947,205,217,0.534,4,2.12,0,0
1520,3620000,1210000,0,0,2.81E-18,2,0.0181,117000,2150,232,110,0,0.198,0,942,0.00798,0,0.625,0,0,0,228,0,4,5.44,0,0
1530,2980000,1200000,0,0,0,1,0.0224,109000,2500,255,183,84,0.124,0.875,1800,0.0162,0,0.702,0,0.0146,0,244,0,4,2.84,0,0
1540,4970000,1520000,0,0,2.38E-18,3,0.0241,72900,1800,206,29.3,0,0.17,0,1000,0.0136,0,0.72,0,0.0395,75.2,258,0,4,2.17,0,0
1550,2680000,1060000,130,0.00121,2.83E-06,1,0.0215,107000,2350,228,51.1,0,0.244,0,708,0.00656,0,0.526,0,0,0,238,0,4,1.54,0,0
1560,2980000,1230000,163,0.00149,2.48E-18,1,0.0168,109000,1870,173,160,0,0.229,0,582,0.0053,0,0.511,0,0,324,274,0,4,3.52,0,0
1570,2710000,1020000,0,0,2.89E-18,1,0.0173,119000,2090,205,158,218,0.192,0.701,864,0.00723,58.5,0.681,0.696,0,0,299,0.492,4,6.56,0,0
1580,3090000,1060000,14,0.000122,0,1,0.0161,115000,1870,147,77.7,0,0.136,0,929,0.00804,147,0.623,0,0,60.3,330,1.28,4,1.02,0,0
1590,4370000,1120000,0,0,1.37E-18,3,0.0171,86600,1510,156,40.1,457,0.205,0.222,603,0.00692,103,0.62,0.659,0.0132,190,256,1.18,4,6.92,0,0
1600,2970000,1160000,0,0,9.9E-06,1,0.0188,109000,2090,137,106,245,0.154,0.584,752,0.00684,61.9,0.434,0.685,0.0669,0,305,0.566,4,11.7,0,0
1610,2830000,1200000,0,0,1.3E-18,0,0.0139,130000,1830,154,88.7,251,0.222,0.535,538,0.00414,0,0.461,0,0.00418,106,170,0,4,2.52,0,0
1620,2810000,1090000,112,0.00102,0,1,0.0217,109000,2420,158,148,168,0.151,0.742,883,0.00801,64.8,0,0.771,0,427,170,0.593,4,5.59,0,0
1630,2650000,1110000,0,0,1.32E-18,0,0.0235,104000,2490,147,116,0,0.196,0,604,0.00578,103,0.692,0,0.0062,0,257,0.988,4,11,0,0
1640,3020000,1010000,274,0.00266,1.48E-18,2,0.0117,103000,1210,150,192,0,0.319,0,319,0.0031,0,0.574,0,0.00387,65,128,0,4,6.99,0,0
1650,2910000,1260000,0,0,1.46E-18,1,0.0183,120000,2240,158,57.8,0,0.289,0,389,0.00322,0,0.581,0,0,0,233,0,4,2.95,0,0
1660,2900000,1110000,0,0,2.38E-18,1,0.0186,103000,1950,178,56.7,175,0.279,0.515,462,0.00447,0,0,0,0.0106,111,240,0,4,6.03,0,0
1670,3040000,1080000,226,0.00257,2.19E-18,1,0.021,87800,1880,142,136,797,0.186,0.359,622,0.00704,237,0.606,0.723,0,149,196,2.69,4,9.09,0,0
1680,3080000,1290000,0,0,0,1,0.0279,78600,2260,86.8,31.8,0,0.157,0,465,0.00589,7.65,0.47,0,0,0,272,0.0973,4,3.13,0,0
1690,2470000,964000,0,0,1.69E-18,1,0.0261,96800,2600,176,93.7,519,0.337,0.374,348,0.00358,88.1,0.429,0.6,0.0103,0,234,0.909,4,3.56,0,0
1700,5660000,1060000,0,0,7.99E-07,3,0.0287,65800,1940,162,97.7,0,0.374,0,271,0.0041,0,0.614,0,0.0081,27.8,214,0,4,2.79,0,0
1710,4280000,1480000,0,0,1.58E-18,3,0.0255,80900,2120,182,127,324,0.181,0.566,822,0.0101,56.1,0.597,0.607,0.0175,50.2,213,0.694,4,2.12,0,0
1720,2690000,1110000,0,0,1.78E-18,1,0.0195,103000,2040,153,96.1,371,0.205,0.462,592,0.00572,91.8,0.703,0.688,0.01,0,204,0.893,4,4.41,0,0
1730,2870000,1200000,0,0,1.88E-18,1,0.0183,96600,1800,152,94.9,0,0.211,0,569,0.00586,0,0.468,0,0,62.6,287,0,4,2.56,0,0
1740,3260000,1320000,416,0.00432,1.74E-18,1,0.0175,96000,1710,199,35.3,0,0.281,0,510,0.00528,0,0.399,0,0.0479,0,198,0,4,2.46,0,0
1750,3550000,1340000,0,0,2.81E-18,1,0.0247,64700,1640,128,184,282,0.175,0.685,605,0.00926,0,0.539,0,0,31.4,197,0,4,2.34,0,0
1760,3370000,1350000,391,0.00444,2.5E-18,1,0.0278,87800,2510,150,93.8,655,0.153,0.324,830,0.00936,28.8,0.658,0.284,0.0625,0,354,0.328,4,3.37,0,0
1770,2360000,946000,0,0,2.91E-18,1,0.0181,100000,1850,152,20.5,0,0.287,0,378,0.00376,17.6,0.736,0,0.0328,0,186,0.176,4,3.42,0,0
1780,2480000,1070000,0,0,2.56E-18,1,0.0224,85600,1960,176,198,0,0.238,0,566,0.00657,31.5,0.331,0,0,0,259,0.368,4,0,0,0
